"year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1975,0.0430119240472655,0.114227030855074,0.302378845568826,0.541360941631784,0.705290577390685,0.809144388321927,0.879003502723247,0.975524773303186,1.15856897145593,1.32690611736758,1.40241625613671,1.44030744086729,1.70620569347134,0.869169213182595,1.87322494231688,1.42719857551394
1976,0.0416277155528686,0.133987746855581,0.296641162106024,0.57504896089448,0.76079487856452,0.835823536234066,0.938533402547545,1.06833130380526,1.20958749687596,1.38518081399222,1.51043586480788,1.58738150785987,1.69764943134099,2.07373786883067,1.02176618231965,2.02474604635684
1977,0.0422968758320572,0.110632696841164,0.296860433085841,0.481292993249854,0.689461772460527,0.769199161313163,0.827109503162552,0.973172412874329,1.1301332363249,1.23380512642179,1.34521985109478,1.45858376637122,1.59624236006511,1.76033446075328,2.07982002439796,0.94222985151061
1978,0.0295810213172434,0.110454503794143,0.240849056633887,0.473265296624755,0.567007920436841,0.684944891586893,0.747930827944086,0.84270832435827,1.01155080568499,1.13269542553687,1.17735542196614,1.27642873280972,1.44119620042241,1.62637327069649,1.73476761301404,1.88453977386758
1979,0.0472416537854204,0.0924537952354042,0.287793724769117,0.459551018974499,0.667299327014428,0.674172456965268,0.797103477406237,0.912036350372415,1.04836288111078,1.21341019677907,1.29363156809618,1.33704902933673,1.50947090059433,1.75744177510053,1.91823929555046,1.88129672188171
1980,0.0280502312175806,0.110626618471454,0.180486864603829,0.411427265847545,0.485481545786978,0.594463963379232,0.587831756221211,0.728263230554164,0.850098922041355,0.942224822250862,1.03831245662803,1.10071102265627,1.18467294996422,1.37913108673243,1.55305367820723,1.5586253743536
1981,0.0312329626963201,0.0771176700648014,0.253549876717253,0.30292858722353,0.510287548984875,0.507762333639349,0.608541892198186,0.63053563081475,0.796945477001004,0.897005860421998,0.946581200059219,1.03722669175911,1.1450049498022,1.27075604510332,1.43084957323519,1.4815227841134
1982,0.0327963487140633,0.0818850278179152,0.168551076309304,0.405818579799614,0.358291104259633,0.508951725303096,0.495677599908427,0.622473594890841,0.657996712741331,0.801914911424075,0.859354742361826,0.901731744418624,1.0289199710611,1.17123742286472,1.25725820561566,1.3016364766847
1983,0.0240430929860388,0.0913466128236249,0.190133115862145,0.286599670869083,0.509921503937024,0.37964114889088,0.527826313445319,0.538648407790149,0.690097825043203,0.703394611789703,0.816170927590981,0.869696247546661,0.950300385801693,1.1181364553268,1.23107034262305,1.21505474379254
1984,0.0237181531992215,0.0683993284413301,0.216640805447201,0.33021475246568,0.367825332899713,0.551867894865477,0.402144630408243,0.585857067411021,0.609943566131162,0.753495253538386,0.731217232801545,0.84366646813914,0.9361505398621,1.05479646359089,1.20040358832649,1.21520286448847
1985,0.0277728571831958,0.0763066673785145,0.183450866005502,0.425499528206526,0.479272528132134,0.450187626542061,0.66109555895407,0.504781029965888,0.750232825897295,0.753146794185074,0.88582517094098,0.854783637650119,1.02699658401785,1.17509659148057,1.28062288273366,1.34002627974313
1986,0.0388109749736997,0.0771257989396785,0.176655805107622,0.311011240721928,0.533068040383872,0.506328008424243,0.465500511686402,0.716279446411464,0.557962373343566,0.799619797373588,0.764266152151782,0.89383076222719,0.898156277000081,1.11274172130154,1.2314694928347,1.23397052646622
1987,0.0283625315953799,0.0971565224548471,0.160954601259375,0.269974364000862,0.351235126279944,0.507656972198586,0.471950938567147,0.454649487708145,0.713711460501983,0.536081329853315,0.731453674516313,0.69516868497917,0.846621513771467,0.877234242810126,1.05119371748529,1.06965932172011
1988,0.0329798797787129,0.0817767083421884,0.233530121999681,0.283312172137576,0.35116530982871,0.385259073492373,0.545007503374893,0.530909652614681,0.521776014662846,0.78979733483335,0.564808461270679,0.766301409435667,0.758387955912548,0.952401763369148,0.954489564887869,1.0516513975754
1989,0.0350984825805586,0.0903104214667903,0.186682985724288,0.390399193353775,0.349992294067581,0.365822748977988,0.392816001186889,0.582278047332179,0.578671634898665,0.548379577681858,0.790297019212804,0.56197650710556,0.793971693609771,0.810263892399326,0.984192310854116,0.906910436289112
1990,0.0362562915332406,0.100249463174442,0.215039328730948,0.325518486422613,0.503045274987452,0.38029664845661,0.389055820676488,0.437745831972058,0.661983102799214,0.634357779359758,0.572348918675756,0.820185758967248,0.607335223574423,0.884799751431427,0.873355735586321,0.975389545534386
1991,0.0331212217912926,0.100903531635559,0.232590168910371,0.365357550369009,0.408698545130755,0.532599018162081,0.394087788821631,0.422448758674999,0.484917411949181,0.70709578966046,0.645123906318368,0.578778005437807,0.863677896176188,0.659474054569241,0.929263661358367,0.843370832673079
1992,0.0378528733658817,0.0946062518355711,0.240273661465288,0.405585150933715,0.470799531820827,0.444106245155179,0.566449689172642,0.439183080362372,0.480297469610218,0.531605697710551,0.73803612207629,0.669552736346667,0.625521297268397,0.962523963220107,0.710856890949194,0.9209941173558
1993,0.0342538476532845,0.089146938454838,0.185743544833289,0.345454577823487,0.430917444073431,0.421807118013806,0.389441253994366,0.520484808843487,0.411695342634948,0.43413643963254,0.457491560847062,0.631558180580195,0.596635326959379,0.574772445134504,0.855441090963694,0.580890364593826
1994,0.0341096152172355,0.103688685539699,0.224964894308109,0.343251893224202,0.471755972360161,0.496233846990037,0.475426521289793,0.459942028936354,0.62712315750374,0.478306542849647,0.480213236314769,0.503191457898301,0.723355796923527,0.704656122041453,0.656581924865175,0.898496787644015
1995,0.0404447477551428,0.105261342111844,0.266753277189073,0.423822529626507,0.477869675216252,0.553834225692563,0.570198354317508,0.572419766601531,0.564960327519008,0.742768164755978,0.539366890846279,0.53846115072624,0.587546085267949,0.870944150877944,0.8206165817265,0.703048716244418
1996,0.0413933714248663,0.108565482644281,0.235550945154637,0.437136030702331,0.51323719557116,0.487988299358209,0.553550083247418,0.597165528959592,0.611599372264086,0.582044177122918,0.728565826747871,0.526068242869604,0.546890784670259,0.615343802673483,0.882248480638235,0.764318441605965
1997,0.0364659731363763,0.112608441879711,0.246217109287743,0.391203025283202,0.536489468545461,0.531163926894401,0.494307330841162,0.587538329185478,0.646632683310353,0.638580335151128,0.578604726330357,0.720173457999983,0.541500458413385,0.58047966726212,0.631726297291764,0.832789962298507
1998,0.0342194717751435,0.0972521837576028,0.250362232475625,0.400873166914646,0.470671830391362,0.54430591795071,0.527457680703782,0.514336967799555,0.623692513004021,0.661877421959175,0.622318875746284,0.560688562223441,0.726716899866843,0.56345163147259,0.584210747701003,0.584581307326748
1999,0.0365006566482503,0.0943580031908434,0.223558462570364,0.421455242555513,0.498674171894426,0.493735037787492,0.558850945620247,0.567456004458848,0.564515606832461,0.660061393119216,0.666912544032027,0.623514532136584,0.584983654625611,0.78183832996131,0.586317770347047,0.558958283730841
2000,0.0444627245015476,0.133230988061697,0.287124085382977,0.498164631043277,0.694001612231017,0.692455305600532,0.671036297631239,0.795865531230308,0.82444092040701,0.790840468818322,0.88038935348733,0.884507710258125,0.86112806850295,0.833095062160318,1.07694247316224,0.742577938143052
2001,0.0456155841750612,0.129827768904896,0.324312048398943,0.511821295899626,0.656219090330016,0.770907556973867,0.752854002146258,0.764463351235934,0.924983511353458,0.923930752941454,0.843813145360835,0.934059346260982,0.97721413427254,0.981037313234846,0.917988116266121,1.09110976350472
2002,0.0464300894651852,0.125043609621212,0.296689493075537,0.542735899027394,0.632952414200383,0.684332904041832,0.786861066860534,0.80518960391551,0.834118403512357,0.973174257949925,0.925493904689839,0.840470961986993,0.968811589472052,1.04516355791341,1.01485679234772,0.873151760409009
2003,0.0430453772998283,0.115137709411011,0.258503173150487,0.449156238140707,0.607171056964728,0.597116986863452,0.631877629796876,0.761298995291914,0.79476548088167,0.793878661163624,0.881849669418367,0.833911173897985,0.788601088428383,0.93735402360523,0.978077569690617,0.873227172602288
2004,0.0408216932143472,0.113890569689728,0.253959897746731,0.417546001849059,0.536121383912804,0.611142671752244,0.588258439084102,0.652278947099339,0.801750566773948,0.807065166343443,0.767540417851185,0.847781564909686,0.834829205265796,0.814075859550824,0.935913841949771,0.897922718253612
2005,0.0425761300104539,0.114708690126987,0.266796042458913,0.435659966823378,0.529314855892458,0.573110990278734,0.63943353340396,0.644930040751679,0.729560714420128,0.864675078827895,0.828704673906786,0.783672714200243,0.901375747436899,0.915269936676989,0.863259086655282,0.912526720634229
2006,0.0403699856108184,0.119557178386329,0.268529563503847,0.45736830071975,0.551901501104787,0.565449543199244,0.599232974773114,0.700557869702308,0.72084991700541,0.786283702551087,0.887254671890369,0.845546366137287,0.832646754360962,0.987555700024371,0.969906002591154,0.841114356726629
2007,0.0330214670330475,0.10531025686778,0.260000418016629,0.427643020058289,0.538248200314797,0.547701529330699,0.549228959595272,0.609883544823242,0.727409328067692,0.721714267375307,0.749509653193259,0.840985558128971,0.834576398859905,0.847459844024056,0.972175458274723,0.877902202320945
2008,0.0323255617140568,0.105637936518942,0.280853945700267,0.507779070733025,0.617176500122952,0.655052989422627,0.652401562970287,0.685513653007722,0.776592575222063,0.893121969071225,0.843674097654478,0.87122221734198,1.01795522947503,1.04168378174658,1.02308955414695,1.07912713493692
2009,0.030220162991645,0.087611830938646,0.238683774648048,0.464701859570364,0.62086320198464,0.63635045408867,0.661059578906445,0.689875629859079,0.739529593143399,0.80782682577284,0.884531548820389,0.83084413307653,0.893433458181764,1.07644442233132,1.06542664746416,0.962132180146111
2010,0.0325981939517999,0.0930701380904519,0.224937893742149,0.448759502429638,0.645642951207056,0.727410854101087,0.729721946256746,0.794315967914146,0.845682087765306,0.874132915636049,0.909112660490683,0.989817320587034,0.968165733644879,1.07354938147307,1.25105425315305,1.13852225577108
2011,0.033890787726466,0.0882097427697858,0.209951840610185,0.371588996353392,0.547824084660883,0.664638861722059,0.732909391652217,0.770405826410762,0.855537562103596,0.87829115434222,0.864343497958475,0.893858733395088,1.01343210772753,1.02216023494337,1.09626618514721,1.17463672211149
2012,0.0341294351993207,0.0981999572679467,0.213075002871636,0.371386853568535,0.485732237653559,0.603866667789442,0.71707215758413,0.828550639689089,0.888529735728089,0.951430518525313,0.929938061688165,0.910005821243215,0.979975272581094,1.14569904969536,1.1176854391286,1.10217376094662
2013,0.0390334632986012,0.0989282154160842,0.237295052894759,0.377051593941536,0.485648495493412,0.535621871453791,0.651747876953433,0.810948114156334,0.955944993317337,0.988487998271585,1.00775283969581,0.979429684814279,0.998048941022898,1.10828753507721,1.25323525153891,1.12412622728474
2014,0.0436972094325217,0.11694357333873,0.247084646820046,0.434015422698592,0.509617698769258,0.553517839134589,0.597509850953986,0.761829934582085,0.967063772491921,1.09920966212368,1.0821726494546,1.09703749139186,1.11027134287748,1.16664136156973,1.2530335471782,1.30279562059538
2015,0.0350679200148319,0.101120367334207,0.22560442170108,0.349066282044994,0.453100504244071,0.448641804408362,0.476940333527241,0.539472287120036,0.701723048252153,0.858911485665058,0.929504189826848,0.909933500538108,0.960556686388578,1.00244446821096,1.01881019229003,1.00612524866937
2016,0.0370083557642715,0.104102736849022,0.250251731069882,0.40886219113139,0.467481563505562,0.511701848952229,0.495906010480659,0.552402105892272,0.637446956767043,0.799514310780287,0.931722169665923,1.00260913500524,1.0220646991804,1.11255476248867,1.12300952420288,1.04942120353148
2017,0.0423769929343376,0.10565045642435,0.247753641389953,0.436139962714365,0.526566209867349,0.507699079469367,0.54392130103846,0.5523445763501,0.627696468507497,0.698431792123549,0.834033909327124,0.966465114158184,1.08297850959189,1.13840352963265,1.19857153780255,1.11239605671721
2018,0.0472903876100837,0.127384099174367,0.264754148355446,0.454655380580785,0.591446429067544,0.602155103798387,0.568249357945912,0.6379112859681,0.660872910936908,0.72417433644706,0.767175920826859,0.910955071404299,1.0992281979336,1.27013879325092,1.29137475998329,1.25012505254397
2019,0.0455597382264413,0.120387089154846,0.270338918551033,0.411459428274623,0.522148245262957,0.572786475480133,0.570772322339005,0.564397561049425,0.646383256664543,0.645703813352475,0.673652691468719,0.709627061658041,0.877446391335585,1.09179514428907,1.22019487555905,1.14067979219386
2020,0.0332496266079303,0.124345161630085,0.273913789774494,0.450436367814591,0.506616274708627,0.542140428617986,0.582087026073153,0.607784626933376,0.613134243241018,0.677089579537314,0.64397187677028,0.668054488103797,0.732815141590966,0.934360609082507,1.12450089537532,1.15553015066149
2021,0.0455673039948729,0.100947484385996,0.314719701929645,0.507691426550569,0.616945248390357,0.585137815697415,0.612869510854895,0.689502400275368,0.734482092568076,0.714451349253982,0.75117432840814,0.710401378215329,0.767427236244334,0.868059351944262,1.07051861940098,1.18460332614857
2022,0.0518347911084534,0.134441507761797,0.24829150040556,0.566867000894843,0.675747297406212,0.692463624856909,0.64281455231008,0.705484036952953,0.809726951960778,0.831705574909779,0.770262190091779,0.805283764500285,0.793049744893495,0.883412431598337,0.966496835817812,1.09591956309569
2023,0.0422357318494373,0.135192154447466,0.292314139231613,0.395338576220787,0.666984528695824,0.670478343538119,0.672472601705784,0.654116299142664,0.732386111896961,0.810544927209539,0.792657600184413,0.729956335309184,0.79468620444648,0.807006112045816,0.869490054698831,0.874651382373795
