ship,survey_num,haul_num,total_haul_weight_kg,haul_type,performance,subsample,target_depth_date_time,haul_back_date_time,haul_duration,haul_distance_fished_nm,inpfc_region,td_latitude,td_longitude,hb_latitude,hb_longitude,avg_bot_depth_m,avg_footrope_depth_m,surface_temp_c,gear_temp_c,avg_wireout_m,transect,net_height_m
NOAA Bell M Shimada,202106,27,771.35,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/26/2021 23:29:46,07/26/2021 23:30:52,0:01:06,0.0563,Monterey; from 36 to 40.5 degrees latitude,39.7715,-124.0535,39.7723,-124.0541,219.5261,207.7531,11.3845,8.3292,291.0263,33,25.0000
NOAA Bell M Shimada,202106,28,2.398,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/27/2021 03:07:57,07/27/2021 03:18:01,0:10:04,0.5196,Monterey; from 36 to 40.5 degrees latitude,39.7723,-124.2560,39.7781,-124.2645,1243.9053,190.5058,10.9060,8.3110,235.5065,33,28.5000
NOAA Bell M Shimada,202106,29,32.151,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/27/2021 15:42:57,07/27/2021 16:05:55,0:22:58,1.1252,Monterey; from 36 to 40.5 degrees latitude,40.1144,-124.3614,40.1262,-124.3804,448.7051,418.0328,10.8231,7.1653,590.0247,35,26.8333
NOAA Bell M Shimada,202106,30,1.381,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/27/2021 18:26:02,07/27/2021 18:41:46,0:15:44,0.9694,Monterey; from 36 to 40.5 degrees latitude,40.1135,-124.5005,40.1227,-124.5178,699.1503,148.7764,11.2592,8.4319,224.6656,35,22.8750
NOAA Bell M Shimada,202106,31,17.472,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/28/2021 17:41:45,07/28/2021 17:57:52,0:16:07,0.8324,Eureka; from 40.5 to 43 degrees latitude,40.7787,-124.5477,40.7923,-124.5514,526.5525,262.0831,10.8316,7.7492,388.6388,39,25.8333
NOAA Bell M Shimada,202106,32,164.1,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/28/2021 19:59:24,07/28/2021 20:15:05,0:15:41,0.8511,Eureka; from 40.5 to 43 degrees latitude,40.7755,-124.5046,40.7895,-124.5073,396.7596,349.6418,10.5385,7.5320,541.3263,39,29.7500
NOAA Bell M Shimada,202106,33,2309,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/28/2021 23:39:06,07/28/2021 23:50:32,0:11:26,0.6391,Eureka; from 40.5 to 43 degrees latitude,40.7776,-124.4522,40.7881,-124.4548,156.6194,134.5180,10.3778,8.3906,175.5757,39,23.0000
NOAA Bell M Shimada,202106,34,3.075,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),07/29/2021 17:31:43,07/29/2021 18:04:00,0:32:17,1.4912,Eureka; from 40.5 to 43 degrees latitude,40.9420,-124.9594,40.9667,-124.9623,>3000,284.9906,10.9141,7.6225,492.0630,40,23.2500
NOAA Bell M Shimada,202106,35,404.01,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/30/2021 01:46:24,07/30/2021 01:53:55,0:07:31,0.4241,Eureka; from 40.5 to 43 degrees latitude,41.1047,-124.3677,41.1117,-124.3691,228.3331,213.4818,11.0582,8.2029,356.2654,41,24.1667
NOAA Bell M Shimada,202106,36,1299.2,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/30/2021 16:57:46,07/30/2021 16:58:09,0:00:23,0.0172,Eureka; from 40.5 to 43 degrees latitude,41.2681,-124.4022,41.2683,-124.4024,190.4518,145.2688,10.7523,8.3092,195.1667,42,27.5000
NOAA Bell M Shimada,202106,37,180.098,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/30/2021 19:24:19,07/30/2021 19:31:50,0:07:31,0.3657,Eureka; from 40.5 to 43 degrees latitude,41.2679,-124.4212,41.2728,-124.4259,264.0937,245.2191,10.5605,8.1065,357.3389,42,26.0000
NOAA Bell M Shimada,202106,38,142.794,Opportunistic off-bottom sample,Good,100% processed (no subsample),07/31/2021 16:10:23,07/31/2021 16:31:56,0:21:33,1.0807,Eureka; from 40.5 to 43 degrees latitude,41.6151,-124.5145,41.6320,-124.5228,427.1670,397.9949,10.4338,6.9145,595.3771,44,26.6667
NOAA Bell M Shimada,202106,39,,Opportunistic off-bottom sample,Aborted,no catch data collected,,,,,,,,,,,,,,,45,
NOAA Bell M Shimada,202106,40,188.272,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/01/2021 16:34:45,08/01/2021 16:56:18,0:21:33,1.1273,Eureka; from 40.5 to 43 degrees latitude,41.9486,-124.5848,41.9660,-124.5941,318.4973,303.7340,11.0683,7.8364,357.3085,46,35.0000
NOAA Bell M Shimada,202106,41,15.532,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/02/2021 16:44:03,08/02/2021 17:15:35,0:31:32,1.8205,Eureka; from 40.5 to 43 degrees latitude,42.2857,-124.8918,42.3143,-124.8780,917.0523,336.0765,12.8537,6.2038,593.1288,48,20.9000
NOAA Bell M Shimada,202106,42,166.6,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),08/02/2021 20:35:19,08/02/2021 20:47:59,0:12:40,0.6978,Eureka; from 40.5 to 43 degrees latitude,42.2779,-124.6544,42.2892,-124.6581,351.4958,348.7841,12.1512,7.5582,551.1218,48,25.6250
NOAA Bell M Shimada,202106,43,483.55,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/03/2021 01:18:32,08/03/2021 01:35:04,0:16:32,1.0339,Eureka; from 40.5 to 43 degrees latitude,42.4443,-124.8113,42.4602,-124.8204,394.9237,228.7813,11.5907,7.8346,286.2339,49,31.1667
NOAA Bell M Shimada,202106,44,2124.014,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/03/2021 15:58:10,08/03/2021 15:59:18,0:01:08,0.0520,Eureka; from 40.5 to 43 degrees latitude,42.6107,-124.7014,42.6115,-124.7013,197.9667,192.6807,9.8011,8.0065,260.6957,50,27.5000
NOAA Bell M Shimada,202106,45,334,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/04/2021 15:15:26,08/04/2021 15:16:45,0:01:19,0.0647,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,43.1092,-124.7363,43.1102,-124.7368,223.1620,195.2839,10.0577,8.0666,276.4833,53,35.0000
NOAA Bell M Shimada,202106,46,125.65,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/04/2021 21:07:45,08/04/2021 21:23:21,0:15:36,0.6848,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,43.2811,-124.9496,43.2925,-124.9491,792.7440,283.2284,11.2977,6.9688,432.8000,54,23.8333
NOAA Bell M Shimada,202106,47,67.26,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/05/2021 15:41:24,08/05/2021 15:57:44,0:16:20,0.8555,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,43.4442,-124.7407,43.4581,-124.7450,505.9345,444.6317,12.1330,6.4138,669.5714,55,27.5000
NOAA Bell M Shimada,202106,48,149.008,Opportunistic off-bottom sample,Aborted,no catch data collected,,08/06/2021 15:13:22,,,,,,43.7791,-124.6065,,,,,,57,
NOAA Bell M Shimada,202106,49,,Opportunistic off-bottom sample,Aborted,no catch data collected,,08/06/2021 16:45:52,,,,,,,,,,,,,57,
NOAA Bell M Shimada,202106,50,105.892,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/06/2021 17:55:56,08/06/2021 18:01:53,0:05:57,0.2958,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,43.7773,-124.6189,43.7724,-124.6186,292.3453,286.3420,12.7704,7.6379,534.6667,57,23.0000
NOAA Bell M Shimada,202106,51,,Opportunistic off-bottom sample,Aborted,no catch data collected,,08/07/2021 00:24:45,,,,,,,,,,,,,58,
NOAA Bell M Shimada,202106,52,1222.4,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/04/2021 19:54:00,09/04/2021 19:56:10,0:02:10,0.0915,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.2942,-124.9132,44.2957,-124.9126,376.1804,NC,14.6669,7.2347,418.8516,60,NR
NOAA Bell M Shimada,202106,53,1112.984,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/05/2021 15:29:24,09/05/2021 15:35:28,0:06:04,0.2797,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.4455,-124.9270,44.4469,-124.9332,540.5632,267.4120,11.3616,7.2264,376.6973,61,30.5000
NOAA Bell M Shimada,202106,54,199.644,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/06/2021 17:22:32,09/06/2021 17:37:38,0:15:06,0.7724,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.6166,-124.8149,44.6262,-124.8270,341.9106,327.5324,12.0487,6.8190,532.7172,62,24.0000
NOAA Bell M Shimada,202106,55,414.102,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/06/2021 20:20:29,09/06/2021 20:27:12,0:06:43,0.3885,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.6141,-124.8419,44.6192,-124.8476,363.5458,287.8275,10.7858,6.3050,529.5171,62,22.0000
NOAA Bell M Shimada,202106,56,38,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/07/2021 15:45:49,09/07/2021 15:55:23,0:09:34,0.5222,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.7800,-124.7312,44.7880,-124.7360,294.8998,273.3508,14.7465,7.3577,453.3559,63,26.5000
NOAA Bell M Shimada,202106,57,1388.678,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/07/2021 18:40:11,09/07/2021 18:48:20,0:08:09,0.4071,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.7749,-124.5981,44.7816,-124.5989,271.0773,222.9193,14.6050,7.6069,323.8880,63,25.0000
NOAA Bell M Shimada,202106,58,157.112,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/08/2021 02:23:11,09/08/2021 02:28:16,0:05:05,0.2948,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,44.9436,-124.4953,44.9434,-124.5022,365.5591,336.3121,15.6816,6.9657,668.2595,64,25.0000
NOAA Bell M Shimada,202106,59,242.471,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/09/2021 15:56:21,09/09/2021 16:09:41,0:13:20,0.6933,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,45.2717,-124.3524,45.2824,-124.3583,263.9312,244.9895,16.1827,7.4654,354.6317,66,29.5000
NOAA Bell M Shimada,202106,60,301.6347,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/09/2021 21:21:10,09/09/2021 21:34:28,0:13:18,0.6611,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,45.2787,-124.7379,45.2892,-124.7426,551.0047,512.8661,17.4350,5.7553,769.5992,66,30.0000
NOAA Bell M Shimada,202106,61,0.908,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/10/2021 16:20:00,09/10/2021 16:24:00,0:04:00,0.1994,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,45.4367,-124.2766,45.4398,-124.2785,167.8242,160.0458,16.4491,7.6178,206.2520,67,26.0000
NOAA Bell M Shimada,202106,62,73.526,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/11/2021 01:02:15,09/11/2021 01:19:49,0:17:34,0.9218,South Columbia - to Cape Falcon; from 43 to 45.77 degrees latitude,45.6098,-124.5620,45.6195,-124.5789,325.2967,318.1436,17.1934,6.9267,473.9726,68,27.0000
NOAA Bell M Shimada,202106,63,237.071,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/11/2021 21:02:34,09/11/2021 21:12:36,0:10:02,0.5582,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,45.7842,-124.7411,45.7933,-124.7382,396.6554,392.7437,17.4069,6.2846,695.7632,69,25.0000
NOAA Bell M Shimada,202106,64,38.232,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/12/2021 17:33:23,09/12/2021 17:42:37,0:09:14,0.4959,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,45.9503,-124.7256,45.9576,-124.7311,358.2622,313.2710,17.2735,7.0668,519.6738,70,29.0000
NOAA Bell M Shimada,202106,65,1538.6,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/13/2021 15:43:12,09/13/2021 15:52:45,0:09:23,0.4732,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,46.2795,-124.3592,46.2842,-124.3683,232.1185,194.1369,14.7076,7.5474,286.6023,72,25.0000
NOAA Bell M Shimada,202106,66,106.1,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/14/2021 18:06:06,09/14/2021 18:12:57,0:06:51,0.3406,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,46.6124,-124.5840,46.6135,-124.5921,152.8593,143.9537,15.3000,7.5504,189.0024,74,26.0000
NOAA Bell M Shimada,202106,67,18.5,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/15/2021 01:46:18,09/15/2021 01:56:24,0:10:06,0.4952,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,46.7697,-124.7147,46.7748,-124.7242,145.8294,139.1212,15.3682,6.7627,172.2797,75,27.2500
NOAA Bell M Shimada,202106,68,14.331,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/16/2021 19:24:52,09/16/2021 19:38:42,0:13:50,0.6027,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,47.0936,-124.9719,47.1030,-124.9770,372.9854,330.1871,14.0152,6.9564,446.4529,77,30.0000
NOAA Bell M Shimada,202106,69,68.1418,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/17/2021 01:58:39,09/17/2021 02:30:35,0:31:56,1.3514,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,47.2738,-124.9097,47.2957,-124.9168,564.9082,422.1402,14.1092,6.0758,545.7357,78,34.7000
NOAA Bell M Shimada,202106,70,0.048,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/18/2021 16:54:37,09/18/2021 17:03:04,0:08:27,0.4770,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,47.7780,-125.0633,47.7767,-125.0750,215.5158,NC,12.8906,7.4314,277.9419,81,NR
NOAA Bell M Shimada,202106,71,997.874,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/19/2021 16:37:26,09/19/2021 16:50:27,0:13:01,0.7261,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,47.9454,-125.2975,47.9458,-125.3155,490.5944,416.7229,11.4899,6.0617,752.2008,82,30.0000
NOAA Bell M Shimada,202106,72,140.944,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/20/2021 01:35:21,09/20/2021 01:50:23,0:15:02,0.7346,Vancouver/North Columbia; from 45.77 to 48.5 degrees latitude,48.1116,-125.2331,48.1114,-125.2514,324.3731,283.4052,13.0141,6.8186,422.0724,83,27.0000
NOAA Bell M Shimada,202106,73,179.8883,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/21/2021 17:50:41,09/21/2021 18:05:42,0:15:01,0.7803,Canada,48.7781,-126.5670,48.7784,-126.5866,480.5219,449.0044,13.8116,6.0467,726.4486,87,30.0000
FV Nordic Pearl,202113,1,1.88,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/21/2021 21:32:04,08/21/2021 21:52:24,0:20:20,0.9513,Canada,49.1148,-126.9733,49.0998,-126.9655,470.0000,435.0000,,,685.8000,89,30.0000
FV Nordic Pearl,202113,2,406.24,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/22/2021 20:58:12,08/22/2021 21:22:58,0:24:46,0.2924,Canada,49.4318,-127.2529,49.4367,-127.2526,300.0000,278.0000,,,,91,38.0000
FV Nordic Pearl,202113,3,5.76,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/23/2021 16:56:41,08/23/2021 17:20:37,0:23:56,1.2031,Canada,49.6110,-127.3844,49.6241,-127.4076,360.0000,,,,,92,
FV Nordic Pearl,202113,4,1008.42,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/24/2021 16:12:57,08/24/2021 16:50:22,0:37:25,1.8509,Canada,49.9462,-127.7910,49.9300,-127.8317,550.0000,,,,493.8000,94,
FV Nordic Pearl,202113,5,4.35,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/24/2021 18:59:23,08/24/2021 19:11:24,0:12:01,0.8012,Canada,49.9442,-127.9175,49.9403,-127.8977,370.0000,245.0000,,,376.7000,94,15.0000
FV Nordic Pearl,202113,6,11.47,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/26/2021 17:13:24,08/26/2021 17:30:23,0:16:59,0.9097,Canada,50.2921,-128.1944,50.2815,-128.1776,175.0000,180.0000,,,246.9000,96,30.0000
FV Nordic Pearl,202113,7,1024.8,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/27/2021 16:12:15,08/27/2021 16:22:15,0:10:00,0.5634,Canada,50.6212,-128.6120,50.6159,-128.5998,179.0000,181.0000,,,256.0000,98,31.0000
FV Nordic Pearl,202113,8,1.64,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),08/29/2021 19:36:29,08/29/2021 19:57:10,0:20:41,1.1966,Canada,51.2535,-128.7506,51.2716,-128.7374,195.0000,,,,,101,
FV Nordic Pearl,202113,9,50.78,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/29/2021 20:52:17,08/29/2021 21:09:36,0:17:19,1.0598,Canada,51.2872,-128.6818,51.2762,-128.6598,180.0000,185.0000,,,246.9000,101,30.0000
FV Nordic Pearl,202113,10,3845.66,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/30/2021 15:19:56,08/30/2021 15:58:16,0:38:20,2.2886,Canada,51.6140,-128.2447,51.5772,-128.2605,130.0000,144.0000,,,201.2000,102,29.0000
FV Nordic Pearl,202113,11,401.02,Opportunistic off-bottom sample,Good,100% processed (no subsample),08/30/2021 19:11:49,08/30/2021 19:37:21,0:25:32,1.5865,Canada,51.6293,-128.5368,51.6053,-128.5546,140.0000,152.0000,,,201.2000,102,27.0000
FV Nordic Pearl,202113,12,20.05,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/01/2021 18:47:56,09/01/2021 19:13:25,0:25:29,1.4934,Canada,51.6172,-130.5911,51.6179,-130.5512,1263.0000,439.0000,,,757.1000,102,29.0000
FV Nordic Pearl,202113,13,32.82,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/02/2021 14:58:42,09/02/2021 15:20:53,0:22:11,1.2259,Canada,51.9844,-130.4008,51.9667,-130.4174,410.0000,390.0000,,,685.8000,103,30.0000
FV Nordic Pearl,202113,14,166.84,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/03/2021 14:31:48,09/03/2021 14:52:19,0:20:31,1.2004,Canada,52.3557,-128.5681,52.3358,-128.5722,245.0000,230.0000,,,495.6000,104,30.0000
FV Nordic Pearl,202113,15,354.79,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/06/2021 00:30:44,09/06/2021 00:51:11,0:20:27,1.1887,Canada,52.9481,-130.0265,52.9490,-129.9938,210.0000,184.0000,,,475.5000,106,29.0000
FV Nordic Pearl,202113,16,20.85,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/07/2021 01:42:08,09/07/2021 01:58:01,0:15:53,0.9438,Canada,54.2724,-131.0502,54.2875,-131.0577,115.0000,110.0000,,,140.8000,110,30.0000
FV Nordic Pearl,202113,17,204.77,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/09/2021 00:26:30,09/09/2021 00:34:27,0:07:57,0.5686,Canada,54.5740,-132.5752,54.5754,-132.5913,285.0000,199.0000,,,279.8000,113,29.0000
FV Nordic Pearl,202113,18,3.03,Opportunistic off-bottom sample,Good,100% processed (no subsample),09/09/2021 20:32:48,09/09/2021 20:52:53,0:20:04,1.2168,Canada,53.9521,-133.6415,53.9709,-133.6541,555.0000,430.0000,,,694.9000,116,30.0000